公司名称,关闭时间,成立时间,产品简介,行业,地点,获投状态,存活天数,logo,行业标签,关闭原因
借钱快贷工具软件,2020-05-27,2018-05-01,借钱快贷工具软件是一款临沂塔路网络科技有限公司推出的记账应用工具，有开支明细，收入明细，记账功能等模块。,工具软件,山东,尚未获投,757,https://cdn.itjuzi.com/images/14c49324ed6001687b336270cb9cb12e.png,工具软件、记账、日常应用、电子账单,烧钱、融资能力不足、行业竞争
极光组科技,2020-05-27,2016-11-01,极光组科技是一家致力于娱乐行业升级改造，构建新的娱乐生态的公司，特别是为娱乐空间提供精准服务，打造全方位业务支持和分析系统，隶属于北京极光组网络科技有限公司。,文娱传媒,北京,天使轮,1303,https://cdn.itjuzi.com/images/878d37b4a147bf35de6ee5950c446428.png,SAAS、其他文娱服务、文化娱乐、行业信息化及解决方案、行业垂直型SaaS、娱乐SaaS,烧钱、融资能力不足、行业竞争
海银会,2020-05-27,2015-04-01,上海海银会金融信息服务有限公司是一家提供创新型互联网金融服务平台的公司，致力于为优质的融资方与投资方之间提供安全、高效、透明的投融服务，使用先进的技术手段、严格的风控体系、专业的运营方式为投融双方提供可靠的金融交易服务。,金融,上海,不明确,1883,https://cdn.itjuzi.com/images/449e14cc7faba94a53aabae1c5f5f572.jpg,Fintech金融科技、众筹、金融、借贷、投融资、股权众筹、风控,政策监管、法律法规风险
八元盈利,2020-05-26,2010-10-01,"八元盈利是一款投资理财服务软件，提供理财内容、创‘微+专’交易模式、开户交易一站式、充值立减现金等服务，隶属于华人视线信息技术有限公司。
",金融,北京,尚未获投,3525,https://cdn.itjuzi.com/images/7d00b52b19a0bd24367d5851db0e5e46.png,金融、理财、理财平台、理财规划、金融投资、投资理财,烧钱、融资能力不足、行业竞争
同乐山,2020-05-26,2017-02-01,同乐山，为国内旅游景点和游乐园提供基于本地特色的IP孵化、游乐设施建造和IP主题运营的定制化服务。隶属于北京同乐山游乐科技有限公司。,旅游,北京,天使轮,1210,https://cdn.itjuzi.com/images/f255652d7efe6528593c406785c7b077.png,游乐场、旅游、国内游、IP孵化、定制服务、定制游、旅游资源运营商、游乐场/游乐园、定制旅行,烧钱、融资能力不足、行业竞争
楷模木门,2020-05-26,2007-03-01,"楷模木门是一家木制家居生产商，集设计开发、生产制造、销售服务等业务于一体，定位服务于中、高端阶层的家居环境，旗下主要开发有“约赫系列”、“卡帝罗系列”、“朴拙系列”等，产品涵盖木门、儿童房等，此外，还致力于为用户提供定制化整体家居解决方案，满足用户不同风格需求。
",电子商务,北京,不明确,4835,https://cdn.itjuzi.com/images/5550ae7944ed9d5a916acedd3b7f7765.png,电子商务、消费升级、家居家纺、门窗、定制家居,烧钱、营销不足、行业竞争
道源生命智慧,2020-05-26,2012-01-01,道源生命智慧致力于打造培训行业第一020网络技术平台 。,教育,广东,尚未获投,3068,https://cdn.itjuzi.com/images/ef3ebb6c63b9ff16d0f8513565b62c8d.png,教育、职业教育、教育信息化、泛教育、教育技术服务、技能培训,烧钱、融资能力不足、行业竞争
叮叮惠来,2020-05-26,2015-08-01,叮叮惠来是一款面向家居建材行业经销商门店的移动互联网O2O平台。旨在为家居建材门店提供线上与消费者互动与沟通的工具，实现家居建材零售从线上到线下的闭环，帮助门店留住回头客，从而提升成交率。隶属于深圳盈客无忧网络科技有限责任公司。,电子商务,广东,A轮,1760,https://cdn.itjuzi.com/images/5699f89fb54a56ba0a1aa533badc417b.png,建材、家具家居、O2O、电子商务、大宗商品、电商经营模式、大宗商品贸易B2B、家居家具、建筑建材、零售/新零售,现金流断裂、营销不足
九章比特,2020-05-26,2017-09-01,九章比特是一家区块链技术应用开发公司，主打产品为ATOKEN，是一个支持多币种币币兑换的手机钱包，覆盖了BTC、LTC、ETC、BCC等主流币种。,区块链,北京,天使轮,998,https://cdn.itjuzi.com/images/cc2e87a35c3eafa925eb433fd08d3b68.png,Fintech金融科技、金融、虚拟货币、区块链、货币兑换、比特币钱包、数字货币、手机钱包、区块链行业应用、虚拟数字货币、数字钱包、区块链金融,政策监管、法律法规风险
海豚智科,2020-05-26,2016-05-01,海豚智能是一家基于企业礼品采购场景，推广销售科技产品的公司，公司平台上共有100款科技产品，团队还开发出AI智能客服，代替人工方式完成用户“选品”过程，可减少采购过程中80%无效沟通时间。,企业服务,广东,种子轮,1486,https://cdn.itjuzi.com/images/8cf574d576ddecb76a017bffad6cdaf8.png,外包、礼品、企业服务、其他企业服务、智能客服、销售、开发商、高端商品、销售与营销,烧钱、融资能力不足、行业竞争
哈哈母婴,2020-05-26,2015-06-01,哈哈母婴是一个为母婴实体门店提供移动互联网解决方案的平台，提供母婴相关服务，隶属于上海笙颐信息科技有限公司。,电子商务,上海,尚未获投,1821,https://cdn.itjuzi.com/images/3f28ae3f7c3af9867faf8e26f1e8d4b4.png,母婴、电子商务、母婴玩具、母婴社区、母婴服务、智能母婴,烧钱、行业竞争
荧猫网络,2020-05-25,2013-04-01,荧猫网络是一家专业从事手机游戏开发的公司，拥有良好的口碑以及丰富的合作资源，隶属于上海荧猫网络科技有限公司。,游戏,上海,尚未获投,2611,https://cdn.itjuzi.com/images/6b8b2de1af9b15563ac2157e855b724e.png,游戏开发商、游戏、手机游戏、游戏发行及渠道、游戏运营、游戏开发、游戏研发、游戏/电竞,烧钱、政策监管、行业竞争
SGOCO上为科技,2020-05-25,2013-11-01,SGOCO上为科技是一家专门从事液晶显示及网络通讯产品研发与制造的高科技型企业。产品涵盖LED/LCD显示器、PIO/AIO一体机电脑、高清网络机顶盒、LED/3D液晶电视、可穿戴健康管理设备等特定应用前沿科技视讯系列产品，致力于为消费者提供高品质的终极视听体验及服务，为企业提供“集约化”一站式视讯办公解决方案。,企业服务,广东,尚未获投,2397,https://cdn.itjuzi.com/images/13f6ef34e176657aae8c46a2f0d17a76.png,企业IT服务、显示屏幕、机顶盒、通讯技术、生产制造、制造,烧钱、融资能力不足、行业竞争
背带兔艺术,2020-05-24,2016-06-01,背带兔艺术是一家为 2-8 岁孩子提供美术培训的教育机构，隶属于成都市背带兔文化传播有限公司。,教育,四川,尚未获投,1453,https://cdn.itjuzi.com/images/828d3e071a76ebd463b43be40e3e92b1.jpg,儿童经济、教育、儿童早教、艺术培训、美术教育、儿童教育、美术培训,现金流断裂、行业竞争
步客,2020-05-23,2010-08-01,步客是一家互联网彩票服务公司，主要专注于在移动互联网上提供彩票资讯、购彩、交流互动、游戏等服务。长期成功运营“步客彩票平台”。,金融,上海,天使轮,3583,https://cdn.itjuzi.com/images/dce1a15b2bc7deda8d21a9f4b55a18fd.png,金融超市、彩票、金融、虚拟货币、综合金融服务,政策监管、法律法规风险
闲景网络,2020-05-23,2013-09-01,闲景网络是一个游戏开发运营平台，专注于手机与网络游戏研发与运营。,游戏,上海,尚未获投,2456,https://cdn.itjuzi.com/images/9470b041b8f03105a315b1efb7ec35dc.png,游戏开发商、游戏、手机游戏、网络游戏,烧钱、政策监管、行业竞争
快知网络,2020-05-22,2018-01-01,快知网络是一家致力于将移动应用开发、校园渠道资源和信息咨询服务于一体的科技综合型企业。为客户提供兼职代招、人才招聘、大学生实习、信息咨询与培训等人力资源服务。,企业服务,北京,尚未获投,872,https://cdn.itjuzi.com/images/3bfa3064ed4bf99b932945e81bb1962a.png,企业服务、人力资源、咨询服务、大学生就业、兼职实习、企业通用服务,融资能力不足、行业竞争
真量技术,2020-05-22,2016-12-01,真量技术是一家从事借款咨询服务、技术模型构建、数据分析服务的公司，公司致力于打一个小额信贷技术管理平台，目前公司旗下产品有“快运贷”，一款无抵押、无担保、快速审核、即时到账的信用产品。,金融,天津,尚未获投,1268,https://cdn.itjuzi.com/images/00bbf73bcf4964e46854fb8adfb03002.png,小额贷款、金融、信用及征信、咨询服务、借贷、数据分析、信用贷款、担保、抵押贷款,政策监管、法律法规风险
红天桃金融,2020-05-22,2014-06-01,红天桃金融是一个互联网金融专业平台。公司从研究借款人的需求和贷款人的要求入手来创制一系列的业务体系和金融生态。然后，从专业化和互联网的角度来研究落实风险的认识、控制、把握和化解问题，使贷款人的资金相对最安全、收益率相对最高，借款人的借款需求满足得相对最快、时间成本和经济成本相对最低。,金融,浙江,尚未获投,2182,https://cdn.itjuzi.com/images/e1e72eb6276674965f9f7e214d0362b4.png,金融、金融信息化、金融综合服务、互联网金融,烧钱、融资能力不足、行业竞争
贝电,2020-05-22,2018-06-01,贝电是有一款电力交易管理平台，可以便捷的管理电站。集合同管理、电量申报、政策法规、偏差预警等多项功能于一身，可以提升用户的管理效率，降低管理难度。利用便捷的通道就可以签订电子合同，并还可以直观的查看合同的详细内容，记录了签订电子合同的时间，通过线上平台保存签订的电子合同，帮助用户管理合同，保障了合同的安全，有效的避免了丢失合同的风险。,工具软件,北京,尚未获投,721,https://cdn.itjuzi.com/images/bad381005aa743af15e6de49bfbea3a5.png,工具软件、事项及效率、合同管理、电力交易,烧钱、融资能力不足、行业竞争
领视文化传媒,2020-05-22,2013-10-01,领视文化传媒是一家互联网视频服务研发运营的高科技公司， 旗下的FOCOSEE是中国第一家产品视频应用整体解决方案提供商，目前也是淘宝平台视频导购的唯一合作伙伴， 拥有独立的广告拍摄制作团队和网络开发运维部门，提供拍摄方案个性化定制服务， 在为电子商务客户轻松实现产品视频展示及导购服务的同时，实现购买转化率的大幅度提升。,文娱传媒,上海,尚未获投,2425,https://cdn.itjuzi.com/images/d3962e0346b5bb7cb9e1112cf492ed7b.png,视频、文化娱乐、视频服务、视频解决方案、视频影像、视频内容制作,政策监管、行业竞争
纯脆CHIPSY,2020-05-22,2015-12-01,纯脆CHIPSY是一个天然食品品牌。,电子商务,北京,尚未获投,1634,https://cdn.itjuzi.com/images/8cfa52c85be3174fab2f2fae64aa1781.jpg,电子商务、生鲜食品、生鲜电商,业务过于分散、融资能力不足、营销不足
考哪儿,2020-05-22,2014-10-01,"考哪儿是一家高考报考预测服务平台。致力于挖掘全国各大院校历年录取大数据，结合了机器人学习技术和人工智能技术。考哪儿和北京大学，中科院合作，从高中生性格、能力、兴趣、价值观各个维度进行二次开发，为高中生推荐适合的领域。
",教育,北京,尚未获投,2060,https://cdn.itjuzi.com/images/a15ee7fe29b51f4fb645b2d196155048.png,高考升学、教育、教育信息化、教育综合服务、教育科技、K12教育、学校/院校,烧钱、融资能力不足、行业竞争
乐牛信息,2020-05-22,2013-10-01,乐牛信息是一家计算机软件公司，提供专业服务，并建立了完善的售后服务体系，同时为在中途遇到的问题和困难提供指导帮助。,企业服务,上海,尚未获投,2425,https://cdn.itjuzi.com/images/d8afbd1e3e7ae5d7bfc95d1663f02c12.png,企业IT服务、企业服务、软件开发、软件研发、软件服务、计算机软件开发,政策监管、行业竞争
天堃佰立,2020-05-21,2014-02-01,天堃佰立，主要专注于为手游公司提供全球移动广告，整合公司营销等服务。天堃佰立团队熟悉手游推广流程，了解各大渠道流量情况，具备全球顶尖游戏优化经验。,游戏,北京,尚未获投,2301,https://cdn.itjuzi.com/images/05d1e541478b3788a46afe4570700a04.png,游戏、手机游戏、游戏发行及渠道、移动广告、游戏发行、整合营销服务、手游推广、游戏/电竞、游戏渠道、游戏广告营销,融资能力不足、行业竞争
那边旅游,2020-05-21,2011-09-01,北京那边网络科技有限公司是一个传统旅游行业结合互联网而搭建的信息化管理平台，专注于旅游行业与互联网行业，致力于解决传统旅游行业痛点，打造简单实用，方便操作的旅游信息化平台。,旅游,北京,不明确,3185,https://cdn.itjuzi.com/images/cd5bd7f42b69751fc52a9b6175e7dfc9.jpg,B2B、平台、旅游、旅游信息化、其他旅游服务、旅游工具及社区、旅游B2B、旅游社交社区,业务过于分散
微众时代,2020-05-21,2013-12-01,微众时代开发了一款区块链SNS社交网络平台，聚集很多关于区块链和数字货币社群大咖，隶属于深圳市微众时代科技有限责任公司。,社交网络,广东,天使轮,2363,https://cdn.itjuzi.com/images/ab1bed041056025f91852c2f87d17223.png,商务社交、社交网络、社交、区块链社交,产品入场时机、烧钱、行业竞争
億萬ONE,2020-05-21,2013-05-01,億萬ONE是全微科技重点开发的基于微信的行业整体解决服务体系。通过整合微信用户进行企业品牌的推广宣传，利用极佳的移动互联体验让目标消费者产生使用黏性，引导消费者进行企业品牌微信内的主动传播，与线下互动打造全新的微信O2O营销服务体系。,企业服务,四川,尚未获投,2577,https://cdn.itjuzi.com/images/a7f8abec5e001db22e9f5a414b29020d.png,企业服务、行业信息化及解决方案、销售与营销,烧钱、融资能力不足、行业竞争
量合科技,2020-05-21,2018-08-01,量合科技是一家专注于移动网络推广的效果广告科技公司，包括小程序推广、小游戏推广、APP推广。 采用CPA、CPD等各种效果付费方式服务客户。旗下拥有群达通、量游小游戏平台，量程小程序平台。群达通为效果广告中心，用户可以通过群达通推广自己的APP，小游戏和小程序。,广告营销,浙江,尚未获投,659,https://cdn.itjuzi.com/images/ff922587b0528eb48ec5fae62ef71b7e.png,广告营销、移动及网络广告、网络营销、广告推广,烧钱、融资能力不足、行业竞争
谱瑞利,2020-05-21,2015-02-01,谱瑞利是一家金融交易技术供应商，总部在瑞士。该公司致力于为广大金融交易机构提供先进的技术解决方案，提供有订单执行及竞价系统，交易软硬件托管及白标服务。,金融,上海,不明确,1936,https://cdn.itjuzi.com/images/f7634e6ddd3f8684f4066acbcbae0174.png,供应链金融、供应链、解决方案、金融、金融综合服务、大数据中心IDC、提供商、金融服务平台,烧钱、行业竞争
梦之匙,2020-05-21,2013-05-01,梦之匙是一家手机游戏研发商，专注于手机游戏研发，其公司旗下产品有《脸谱三国》、《指掌乾坤》等游戏，隶属于北京梦之匙科技有限公司。,游戏,北京,天使轮,2577,https://cdn.itjuzi.com/images/82c55119c976bb7f5751ff7d7b9beb85.png,游戏开发商、游戏、手机游戏、游戏/电竞,融资能力不足、行业竞争
友谊商城,2020-05-20,2014-06-01,友谊商城是一家一站式购物城，也是邯郸市政府规划重点项目之一。商城位于邯郸市核心商圈地段，以休闲体验中心、生活时尚中心、家庭消费中心为主，成为邯郸的家庭港湾。,本地生活,河北,尚未获投,2180,https://cdn.itjuzi.com/images/1994ee539fcbfe1461b5cb495b84715e.png,时尚潮品、本地生活、本地综合生活、商圈服务,定价/成本问题、行业竞争
新文鼎,2020-05-20,2001-04-01,新文鼎是一家从事网络视频、数据通信产品研发、生产、销售、服务于一体的高科技民营企业。致力于网络视频、数据通信领域的发展。现已开发系列机架式调制解调器生产、系列光纤收发器、系列宽带应用产品。系列宽带应用产品有：W74GM网络摄像机、W74GN网络摄像机、W750H网络摄像服务器、W750M网络摄像服务器等硬件产品；NVS集中管理型网络监控软件。,先进制造,广东,尚未获投,6989,https://cdn.itjuzi.com/images/7b56c5b48f1f6eee6f2a232bb220ade8.png,企业IT服务、企业服务、销售、产品研发、生产、新工业,烧钱、行业竞争
任意存科技,2020-05-20,2017-04-01,任意存科技是一家储存服务提供商，用户通过线上下单，公司会在预约的时间段里到指定地址帮你打包收取你想储存的物品。无论多远，无论多大件。用户还可通过宝师傅上门存储服务储存私人物品，透过手机或电脑快速管理自己的物品。当需要取回物品时，公司的专业运送团队可以送回用户指定的储物箱。,本地生活,广东,尚未获投,1145,https://cdn.itjuzi.com/images/a2a70b9642b05c9fc85698b8a04f739a.png,平台、上门到家服务、家政服务、线上预约、产品研发、生活方式,烧钱、行业竞争
爱图瓴,2020-05-20,2016-12-01,爱图瓴是一家专注于计算机视觉应用的人工智能公司，为智能家电、安防监控、智能交通、金融及其他物联网行业提供业界领先的技术与解决方案。,企业服务,上海,天使轮,1266,https://cdn.itjuzi.com/images/0bef3b2ad6a6d14fb085811433a0b82e.jpg,人工智能、企业服务、生鲜食品、视觉技术、前沿技术、计算机视觉、计算机视觉与图像、数据采集、大数据技术、大数据服务、技术层、智能安防、智能金融、智能家居（智慧家居）、新基建,融资能力不足、行业竞争
快闪卡贷,2020-05-20,2015-11-01,快闪卡贷是上海蔚商金融信息服务有限公司旗下的产品，蔚商金融致力于打造开放、共生的金融科技生态系统。,金融,上海,尚未获投,1662,https://cdn.itjuzi.com/images/b8f82234ea7aead99c35683b44335765.png,金融、借贷,政策监管、法律法规风险
SNAPPU,2020-05-20,2015-04-01,SNAPPU是一个大学生派对APP，平台上是由友邻组织发起的轰趴、密室、体育竞技、生日会等，为大家提供了一个良好的邻里社区，致力于打造更丰富的大学生娱乐社交圈 。隶属于上海匠作信息技术有限公司。,文娱传媒,上海,天使轮,1876,https://cdn.itjuzi.com/images/9bec26bd4b6a8467bf17eee6145171f3.png,共享经济、APP、邻里社区、其他文娱服务、文化娱乐、聚会派对、社交/娱乐,商业模式匮乏、营销不足
新毅金融,2020-05-20,2013-12-01,新毅金融是一家投融资互联网金融众筹平台运营商，平台品牌是718金融众筹平台，致力于通过线上线下提供投融资服务交易平台，以及信息筛选、匹配、推送、定制等各类金融信息服务。,金融,上海,天使轮,2362,https://cdn.itjuzi.com/images/ce8f9ef3a6d01738b4731fae2f8d55b6.png,Fintech金融科技、众筹、O2O、平台、金融、投融资,政策监管、法律法规风险
心流,2020-05-20,2019-03-01,心流是一款文化创作与分享app，它是一本杂志。让更多好的内容被更多的人看到。,文娱传媒,北京,尚未获投,446,https://cdn.itjuzi.com/images/tLo1f2wM8mfkA0A7piVW09WSmYtExpBvtYa0FZzf.png,报刊杂志、内容生产、文娱传媒,烧钱、融资能力不足、行业竞争
奥威玛科技,2020-05-19,2017-08-01,武汉市奥威玛科技有限公司是一家专注互联网电商的公司，致力于聚集新媒体从业精英和有志青年一起来打造自有大V、IP，全平台引流推广，构架绿色网络商业生态，自营网络爆品，全新潮流网络营销模式。,广告营销,湖北,尚未获投,1022,https://cdn.itjuzi.com/images/4932a1256c8c1410a8f50591342b1c88.png,时尚潮品、广告营销、整合营销传播、电子商务、数字营销、新媒体营销、电商经营模式、销售与营销、企业营销、穿,烧钱、融资能力不足、行业竞争
OXO教育联盟,2020-05-19,2019-04-01,OXO教育联盟，全世界教育者联合起来，致力于为少儿打造专属的好老师、好环境、好学生的三好校区标准，OXO通过对中小机构进行赋能整合，解决了其品牌、师资、招生、运营等资源受限和能力不足的困境，成为中小教育培训机构和校长们的专业化发展新出路。全中国教育者联合起来与OXO一起提升校区综合竞争力，提高运营效率、增加营业收入。,教育,北京,尚未获投,414,https://cdn.itjuzi.com/images/HlEDE2RRy9378qOn635wFJxMiym55hepAJ9AhB4J.png,教育、泛教育,烧钱、融资能力不足、行业竞争
走秀网,2020-05-19,2008-03-01,走秀网是一家时尚类电子商务平台，致力于成为国际品牌进入中国零售市场的桥梁和门户，将全球时尚商品带给众多中国消费者。深圳走秀网络科技有限公司旗下网站。,电子商务,广东,C轮,4462,https://cdn.itjuzi.com/images/archive/4927.png,时尚潮品、B2C、电子商务、外贸电商、跨境电商、连续获投、电商经营模式、零售/新零售、穿,现金流断裂、行业竞争
我的法律顾问,2020-05-19,2016-11-01,我的法律顾问是深圳市金芳华文化产业有限公司推出的日常法律咨询软件，提供了在线法律咨询服务。,企业服务,广东,尚未获投,1295,https://cdn.itjuzi.com/images/1c59b6b31d77e12536255e15f54250f9.png,企业服务、咨询服务、法律服务、法律咨询,融资能力不足、行业竞争
滴滴代喝,2020-05-19,2015-10-01,"滴滴代喝是一款陪酒代酒社交应用。应用包括搜索附近代酒师、附近夜场实时优惠情况等内容，同时，用户在应用中可以寻找代酒师，并可以对代酒师的文化素养、服务态度等进行评价，进而对代酒师进行星级认定。
",社交网络,贵州,尚未获投,1692,https://cdn.itjuzi.com/images/0414c2a75276e7ca78abef7e2ff9c0d3.png,兴趣社区、社交网络、社交,产品入场时机、烧钱、行业竞争
Jet.com,2020-05-19,2014-01-01,Jet.com 是会员制电商网站，基于用户购物车内商品的数量，Jet的工程师会不断地更新最高效、最省钱的销售商。,电子商务,北美洲,已被收购,2330,https://cdn.itjuzi.com/images/d5dd42afd55e5a6bd63082039bca6722.png,平台、电子商务、综合电商、会员制、连续获投、融资节奏快、综合性电商、电商经营模式,烧钱、行业竞争
钱小串,2020-05-19,2016-02-01,钱小串是一个为用户提供小额贷款的app，汇集了银行、基金、互联网、电子商务等金融及互联网行业的专家，在金融产品创新及互联网平台运营方面具备强大的经验优势。钱小串依托集团雄厚的资金实力和资源优势，以互联网消费金融为切入点，致力于为广大投资者创建一个优质可靠的互联网金融服务平台,金融,辽宁,尚未获投,1569,https://cdn.itjuzi.com/images/9a45d137a0960c393b37321dc8b63423.png,小额贷款、金融、基金、金融综合服务、借贷、金融服务平台、互联网金融、银行、投资理财,政策监管、法律法规风险
破壳科技,2020-05-19,2014-05-01,成都破壳科技有限公司成立于2014年，是一家以移动平台游戏研发与运营为主业的公司。 我们的使命是用“职人”的精神，打造用户体验一流的虚拟消费产品，加强玩家的沟通，协作，竞争。 公司中文名“破壳”的寓意，即为“新生之物，破壳而出”。用崭新的视角，破坏性的思维，执着的初心，去制作与众不同的娱乐产品。,游戏,四川,尚未获投,2210,https://cdn.itjuzi.com/images/3da056b572ddc2f9f8d163baa01032a5.png,游戏开发商、游戏、游戏/电竞,烧钱、行业竞争
记账宝,2020-05-19,2017-10-01,记账宝是一款日常记账软件，除了基本的记账功能外，软件还能能通过图表功能，帮助用户分析自己的消费状况，无需注册账号，数据存储在手机中，支持备注智能提示功能，隶属于烟台腾信金融信息技术外包服务有限公司旗下。,工具软件,山东,尚未获投,961,https://cdn.itjuzi.com/images/7920ebc5057c46f958a854349ed9ae8f.png,记账工具、工具软件、实用生活服务、数据分析、记账、日常应用,烧钱、融资能力不足、行业竞争
极峰科技,2020-05-18,2014-01-01,极峰科技是一家企业服务公司，自主研发一套基云技术的综合管理信息平台，并可依据企业个性化业务需求进行灵活配置，实现企业业务流程重组，提高企业信息化管理水平。主营业务主要包括：WEB项目研发、移动应用业务、技术服务等。,企业服务,北京,尚未获投,2329,https://cdn.itjuzi.com/images/36545b8a602c5a25f739169e659bcc83.jpg,企业IT服务、移动设备管理、企业服务、办公OA、管理服务、企业通用服务,产品入场时机、烧钱、行业竞争
易简行,2020-05-18,2014-10-01,易简行是一家数据技术公司，致力于利用大数据分析技术为金融行业提供定制化数据服务以及通用化的软件产品服务解决方案，提供数据采集、数据运营、可视化分析等服务项目。,企业服务,广东,不明确,2056,https://cdn.itjuzi.com/images/4f504098c4563205ed809d5aaabeb140.png,大数据、数据服务、解决方案、企业服务、数据分析、数据挖掘、金融大数据、数据采集、大数据技术、大数据服务,现金流断裂
晨讯奥斯,2020-05-18,2013-02-01,晨讯奥斯是国家领先的移动游戏开发商与运营商，专注于移动游戏的开发及运营。,游戏,北京,尚未获投,2663,https://cdn.itjuzi.com/images/c11e35d608e23a4ffdcb150bc3ead512.png,游戏开发商、游戏、手机游戏、游戏/电竞,烧钱、行业竞争
寓乐东方,2020-05-18,2016-09-01,"寓乐东方是一家创客教育服务机构，主要针对国内6-18岁学生提供创客教育整体解决方案。主要开展建设校园创客空间、组织创客比赛、网报自主招生学校、组织创客作品众筹等业务，自主研发机器人软硬件产品及课程，已与国内1000多所学校合作。
",教育,北京,尚未获投,1355,https://cdn.itjuzi.com/images/d2d2cfad2db3c7c6fdd6b996a292fd9b.png,教育、教育综合服务、K12、创客教育、机器人教育、K12教育、学校/院校,烧钱、融资能力不足、行业竞争
众盟软件,2020-05-18,2006-02-01,众盟软件是一家数据资产化服务型企业，旨在通过建立标准化的数据资产化管理流程，为用户制订和实施随需应变的大数据解决方案，主要业务包括IT系统服务、赛仕（SAS）数据分析、企业级业务连续性和高可用性解决方案、大数据综合业务平台、企业级在线培训管理SaaS系统等五大业务模块。,企业服务,上海,已退市,5220,https://cdn.itjuzi.com/images/0ba39c1e35c7ab3dee0516a1aeda2237.jpg,云计算、SAAS、数据服务、企业服务、咨询服务、大数据平台、大数据技术、企业通用服务、大数据服务,烧钱、融资能力不足、行业竞争
妙喵,2020-05-18,2015-06-01,妙喵是一款通过朋友之间相互介绍，帮用户靠谱脱单的社交app，致力于打造轻松、有趣、靠谱脱单的社交平台。,社交网络,四川,种子轮,1813,https://cdn.itjuzi.com/images/1835d5ab1bffc6df6c21b5454f9525ca.jpeg,婚恋交友、陌生人交友、社交网络、社交、婚恋社交、陌生人社交,产品入场时机、融资能力不足、行业竞争
微力果助手,2020-05-18,2014-03-01,微力果助手是一家专注于提供点餐和收款方案的网络科技公司。致力于解决中小型商家的点餐难和收款方案，隶属于阳江市力果网络科技有限公司。,工具软件,广东,尚未获投,2270,https://cdn.itjuzi.com/images/44872e7dd3fe409510a3e05f5e2c98d6.png,解决方案、工具软件、实用生活服务、点餐系统,烧钱、融资能力不足、行业竞争
咸鱼兼职,2020-05-18,2013-11-01,咸鱼兼职是一款提供兼职信息的平台，咸鱼兼职搜集并筛选各类兼职工作，提供各种兼职信息，帮助用户找到想要的赚钱兼职信息，还提供各种商品优惠券，也提供建议反馈入口以及时调整产品，隶属于苏州阪岛电器有限公司旗下。,工具软件,江苏,尚未获投,2390,https://cdn.itjuzi.com/images/905965c04a658d60ec2dba07c1017324.png,兼职、工具软件、其他工具、兼职实习、优惠券、信息服务,烧钱、融资能力不足、行业竞争
华燃燃气,2020-05-18,2014-12-01,华燃燃气是一家燃气及相关产品销售服务机构，专业从事天然气灶具的销售、热水器及安装。我们始终为客户提供好的产品、良好的技术支持、健全的售后服务。,先进制造,河南,尚未获投,1995,https://cdn.itjuzi.com/images/7a8cf1a94f99040d1309651bceeb56b1.png,新能源、销售、油气、天然气、新工业,烧钱、行业竞争
云品优选,2020-05-18,2018-04-01,云品优选是一家以S2B2C模式运营的社交电商平台，运营体系覆盖仓配，内容，营销，客服，培训五个方面，核心业务涉及服装定制、母婴、轻奢、服饰、营养保健、美妆护理、食品酒水和云品优选等八个品类。,电子商务,北京,尚未获投,778,https://cdn.itjuzi.com/images/05cba80dd8e1c648037c40f17f84db45.png,社交电商、美业、电子商务、综合电商、消费升级、电商平台、服装定制/搭配服务、穿,烧钱、融资能力不足、行业竞争
36镇,2020-05-15,2016-06-01,36镇是一个移动互联网收藏网址的工具服务平台，支持一键收藏网址、导入浏览器书签、账号备注，密码提示整理与梳理；批量编辑、多级分类、置顶常用网址、共享知识，分享价值、私密安全等服务，隶属于青岛新必成网络科技有限公司。,工具软件,山东,不明确,1444,https://cdn.itjuzi.com/images/271b4cca5344f63c6de2fc7499b1c268.png,工具软件、搜索引擎、浏览器、个人助理、系统工具、事项及效率、实用生活服务、个人办公工具,烧钱、融资能力不足、行业竞争
泰弘兴科技,2020-05-15,2017-05-01,泰弘兴科技是一家专注于药物的企业，产品有强肾灸等。,医疗健康,北京,尚未获投,1110,https://cdn.itjuzi.com/images/79ac6c3cf2848b84a48767ad515a9287.png,医药电商、医疗健康、药物研发、药物,烧钱、融资能力不足、行业竞争
星辉网,2020-05-15,2015-08-01,星辉网是一家以视频直播为载体，以影视海选、造星、粉丝互动为主要内容，以落地演艺、影视剧项目为闭环的平台，打造影视娱乐产业新生态。致力于为全球百万优秀视频主播和艺人搭建一个进入影视娱乐行业的通道。,文娱传媒,北京,尚未获投,1749,https://cdn.itjuzi.com/images/68081fce12c8e50ae72ec4b8d6b0114d.png,直播、录播、秀场、美女主播、互联网造星、粉丝经济、才艺展示、网络剧、影视、多媒体、播客、文化娱乐、艺人网红、电视、网络影视、秀场直播、视频直播、主播,烧钱、行业竞争
养森,2020-05-15,2016-07-01,养森是一个养生产品品牌，公司将传统中医理论与现代生物科技相结合，针对中国人的饮食和文化特点，研制出适合中国人体质的专业养生产品，品牌下有为养生的人士专属打造的一款手机养生软件养森APP，品牌隶属于贵州蓓俪芙生物科技有限公司旗下。,医疗健康,贵州,尚未获投,1414,https://cdn.itjuzi.com/images/d8873f88b33f37bbf00e89540065664e.png,中医、医疗健康、消费升级、健康保健、健康管理、健康养生、互联网医疗、养生保健、养生服务、健康养老,烧钱、行业竞争
